date,Electricity,Nuclear,Coal,Hydro,Geothermal,Biomass,Solar,Solar_curtailment,Wind,Wind_ccurtailment,Water_pumping,Interconnection,Temperature,Relative_humidity,Precipitation,Dew_point,Vapor_pressure,Wind_speed,Sunshine_duration,Snowfall,Global_horizontal_irradiance,Renewable_energy
2020/1/1 0:00,9143,1261,9638,0,0,0,963,0,98,564,1,-3382,2.3,49,0,-7.3,3.5,4.7,0,0,0,2322
2020/1/1 1:00,9208,1243,9710,0,0,0,961,0,100,564,1,-3371,2.3,51,0,-6.8,3.7,4.2,0,0,0,2304
2020/1/1 2:00,9355,1226,9915,0,0,0,966,0,99,565,1,-3417,2,55,0,-6.1,3.9,4.1,0,0,0,2291
2020/1/1 3:00,9410,1215,9748,0,0,0,968,0,97,564,1,-3183,2.5,51,0,-6.6,3.7,3.6,0,0,0,2280
2020/1/1 4:00,9448,1213,9808,0,0,0,964,0,96,565,1,-3199,2.2,53,0,-6.4,3.8,4.2,0,0,0,2273
2020/1/1 5:00,9228,1274,9816,0,0,0,898,0,94,563,1,-3418,1.9,53,0,-6.7,3.7,4,0,0,0,2266
2020/1/1 6:00,8870,1273,9507,0,0,0,825,0,98,562,1,-3396,0.9,61,0,-5.8,4,2.4,0,0,0,2196
2020/1/1 7:00,8476,1255,9584,0,138,0,719,0,98,567,1,-3886,0,76,0,-3.7,4.6,2.5,0.5,0,0.2,2210
2020/1/1 8:00,8742,1213,9381,0,903,0,676,0,99,578,1,-4109,1.6,64,0,-4.5,4.4,1.6,1,0,0.85,2891
2020/1/1 9:00,8673,1172,8596,0,1647,0,736,0,97,577,1,-4153,4.2,50,0,-5.3,4.1,3.7,1,0,1.36,3652
2020/1/1 10:00,8368,1122,7718,0,2084,0,770,0,97,577,-106,-3894,4.9,44,0,-6.3,3.8,2.1,1,0,1.7,4073
2020/1/1 11:00,8092,1108,7529,0,2224,0,787,0,95,578,-222,-4007,6.4,41,0,-5.9,3.9,1.2,1,0,1.93,4214
2020/1/1 12:00,8001,1118,7742,0,1819,0,847,0,97,579,-221,-3980,7.7,40,0,-5,4.2,5.2,0.9,0,1.93,3881
2020/1/1 13:00,7953,1156,7981,0,1398,0,876,0,99,576,-221,-3912,7.3,46,0,-3.5,4.7,4.5,0.3,0,0.69,3529
2020/1/1 14:00,7785,1176,8027,0,827,0,902,0,98,576,-221,-3600,5.4,67,0,-0.2,6,4.3,0.7,0,0.86,3003
2020/1/1 15:00,8036,1228,8603,0,218,0,924,0,97,574,1,-3609,4,71,0,-0.8,5.8,5.3,0.8,0,0.36,2467
2020/1/1 16:00,8718,1322,9455,0,1,0,917,0,98,578,1,-3654,3.5,70,0,-1.4,5.5,3.3,0,0,0.02,2338
2020/1/1 17:00,9349,1333,10035,0,0,0,927,0,96,577,1,-3620,3.2,72,0,-1.4,5.5,3.1,0,0,0,2356
2020/1/1 18:00,9423,1331,10084,0,0,0,926,0,98,577,1,-3594,3.5,67,0,-2,5.3,4.6,0,0,0,2355
2020/1/1 19:00,9279,1314,10148,0,0,0,924,0,98,579,1,-3785,3.3,62,0,-3.3,4.8,4,0,0,0,2336
2020/1/1 20:00,9143,1234,9960,0,0,0,919,0,97,578,1,-3646,3.4,59,0,-3.8,4.6,7.7,0,0,0,2250
2020/1/1 21:00,8965,1209,9868,0,0,0,917,0,95,578,1,-3703,3,64,0,-3.1,4.9,8.1,0,0,0,2221
2020/1/1 22:00,8566,1148,9647,0,0,0,932,0,97,568,1,-3827,3.4,54,0,-5,4.2,9.4,0,0,0,2177
2020/1/1 23:00,8753,1096,9413,0,0,0,928,0,97,565,2,-3348,3.2,56,0,-4.7,4.3,5.8,0,0,0,2121
2020/1/2 0:00,8506,1058,9465,0,0,0,935,0,97,563,1,-3613,3.1,57,0,-4.6,4.4,3.7,0,0,0,2090
2020/1/2 1:00,8738,1050,9745,0,0,0,924,0,97,564,1,-3643,3.3,55,0,-4.9,4.3,5.3,0,0,0,2071
2020/1/2 2:00,9030,1051,9926,0,0,0,923,0,97,564,1,-3532,3.3,55,0,-4.9,4.3,3.4,0,0,0,2071
2020/1/2 3:00,9196,1051,10012,0,0,0,943,0,95,564,1,-3470,3.1,51,0,-6,3.9,3,0,0,0,2089
2020/1/2 4:00,9243,1103,9992,0,0,0,948,0,98,564,1,-3463,3.7,54,0,-4.7,4.3,3.8,0,0,0,2149
2020/1/2 5:00,9145,1191,9777,0,0,0,917,0,95,565,1,-3401,3.6,55,0,-4.6,4.3,2.7,0,0,0,2203
2020/1/2 6:00,8904,1227,9761,0,0,0,905,0,98,565,1,-3653,3.4,55,0,-4.8,4.3,4.4,0,0,0,2230
2020/1/2 7:00,8707,1178,9837,0,139,0,906,0,100,567,1,-4021,3.5,55,0,-4.7,4.3,3.1,1,0,0.29,2323
2020/1/2 8:00,8929,1070,9749,0,802,0,859,0,97,565,1,-4214,5.2,46,0,-5.5,4.1,3.9,1,0,0.88,2828
2020/1/2 9:00,8934,1029,9182,0,1604,0,853,0,96,564,1,-4395,5.8,46,0,-4.9,4.2,4.2,1,0,1.39,3582
2020/1/2 10:00,8659,984,8387,0,2197,0,874,0,95,565,-214,-4229,6.4,40,0,-6.2,3.8,6.9,1,0,1.75,4150
2020/1/2 11:00,8395,980,7800,0,2572,0,880,0,96,568,-221,-4280,6.9,38,0,-6.4,3.8,7.3,1,0,1.89,4528
2020/1/2 12:00,8258,995,7600,0,2582,0,871,0,97,568,-220,-4235,7.1,41,0,-5.2,4.1,6.4,1,0,1.82,4545
2020/1/2 13:00,8106,1029,7702,0,2201,0,846,0,97,567,-221,-4115,7,38,0,-6.3,3.8,5.1,1,0,1.54,4173
2020/1/2 14:00,7957,1082,8072,0,1411,0,827,0,98,566,-108,-3991,6.6,41,0,-5.7,4,5.5,1,0,1.05,3418
2020/1/2 15:00,8069,1118,8697,0,370,0,802,0,97,563,1,-3579,5.9,41,0,-6.3,3.8,2.7,1,0,0.45,2387
2020/1/2 16:00,8805,1283,9441,0,8,0,773,0,97,566,1,-3364,5,47,0,-5.4,4.1,2.9,0.2,0,0.03,2161
2020/1/2 17:00,9458,1293,10246,0,0,0,714,0,97,564,1,-3457,4.5,51,0,-4.7,4.3,3.2,0,0,0,2104
2020/1/2 18:00,9469,1281,10049,0,0,0,664,0,98,562,1,-3186,4.7,44,0,-6.5,3.8,4.4,0,0,0,2043
2020/1/2 19:00,9304,1265,10136,0,0,0,655,0,99,562,1,-3414,4.1,50,0,-5.4,4.1,2.9,0,0,0,2019
2020/1/2 20:00,9033,1245,10040,0,0,0,679,0,98,562,1,-3592,3.8,48,0,-6.2,3.8,4.7,0,0,0,2022
2020/1/2 21:00,8753,1164,10019,0,0,0,717,0,99,562,-11,-3797,3.3,52,0,-5.6,4,1.9,0,0,0,1980
2020/1/2 22:00,8317,1121,9587,0,0,0,696,0,96,563,1,-3747,1.6,61,0,-5.1,4.2,0.9,0,0,0,1913
2020/1/2 23:00,8417,1041,9710,0,0,0,679,0,92,562,2,-3669,2.5,56,0,-5.4,4.1,1.4,0,0,0,1812
2020/1/3 0:00,8195,1016,9085,0,0,0,666,0,98,563,1,-3234,3.9,50,0,-5.6,4,4.9,0,0,0,1780
2020/1/3 1:00,8412,1015,9334,0,0,0,682,0,99,563,1,-3282,3.6,51,0,-5.6,4,2.6,0,0,0,1796
2020/1/3 2:00,8701,1012,9544,0,0,0,647,0,99,565,141,-3307,1.6,64,0,-4.5,4.4,3,0,0,0,1758
2020/1/3 3:00,8985,1006,9862,0,0,0,625,0,97,565,144,-3314,1.6,68,0,-3.6,4.7,3.8,0,0,0,1728
2020/1/3 4:00,9085,1059,10057,0,0,0,641,0,95,565,1,-3333,1.6,68,0,-3.6,4.7,1.5,0,0,0,1795
2020/1/3 5:00,8949,1169,9740,0,0,0,659,0,98,563,1,-3281,-0.5,76,0,-4.2,4.5,1.8,0,0,0,1926
2020/1/3 6:00,8753,1177,9561,0,0,0,649,0,99,562,1,-3296,0.2,73,0,-4,4.5,1.3,0,0,0,1925
2020/1/3 7:00,8551,1124,9784,0,153,0,607,0,98,565,1,-3781,0.6,72,0,-3.8,4.6,1.4,0.3,0,0.18,1982
2020/1/3 8:00,8895,1062,9596,0,818,0,592,0,99,563,1,-3836,2.9,65,0,-3,4.9,1.8,0.9,0,0.73,2571
2020/1/3 9:00,8955,1000,9083,0,1568,0,589,0,95,560,1,-3941,5.8,53,0,-3,4.9,3.4,1,0,1.32,3252
2020/1/3 10:00,8612,992,8668,0,1866,0,638,0,96,562,0,-4210,7,48,0,-3.2,4.8,4,1,0,1.75,3592
2020/1/3 11:00,8340,966,8026,0,1652,0,712,0,95,562,-215,-3458,7.4,47,0,-3.2,4.8,2.3,0.7,0,1.49,3425
2020/1/3 12:00,8251,961,8013,0,1472,0,688,0,96,563,-220,-3322,7.6,48,0,-2.7,5,1.8,0.2,0,0.8,3217
2020/1/3 13:00,8223,957,8106,0,1238,0,682,0,99,561,0,-3420,5.5,64,0,-0.8,5.8,6.1,0,0,0.33,2976
2020/1/3 14:00,8276,997,8821,0,811,0,676,0,97,562,1,-3689,4.6,80,0,1.5,6.8,3.9,0,0,0.15,2581
2020/1/3 15:00,8336,1048,9437,0,224,0,760,0,94,560,1,-3788,5.4,70,0,0.4,6.3,1.7,0.6,0,0.31,2126
2020/1/3 16:00,9021,1215,9821,0,5,0,818,0,95,565,1,-3499,5.2,69,0,0,6.1,2.3,0.1,0,0.03,2133
2020/1/3 17:00,9635,1237,10332,0,0,0,873,0,96,565,1,-3469,4.8,72,0,0.2,6.2,3.2,0,0,0,2206
2020/1/3 18:00,9606,1214,10044,0,0,0,874,0,97,567,1,-3191,5.4,62,0,-1.3,5.6,2.4,0,0,0,2185
2020/1/3 19:00,9487,1208,9993,0,0,0,877,0,98,567,1,-3257,4,75,0,0,6.1,2.9,0,0,0,2183
2020/1/3 20:00,9263,1117,9937,0,0,0,864,0,98,568,1,-3322,3.7,78,0,0.2,6.2,2.1,0,0,0,2079
2020/1/3 21:00,9021,1054,10029,0,0,0,833,0,95,565,1,-3556,3.2,81,0,0.3,6.2,1.6,0,0,0,1982
2020/1/3 22:00,8524,1039,9761,0,0,0,874,0,97,566,1,-3814,1.6,85,0,-0.6,5.8,0.3,0,0,0,2010
2020/1/3 23:00,8592,982,9802,0,0,0,873,0,91,562,2,-3720,2.5,77,0,-1.1,5.6,1.5,0,0,0,1946
2020/1/4 0:00,8344,939,9466,0,0,0,845,0,95,561,1,-3563,3.1,66,0,-2.6,5,2.9,0,0,0,1879
2020/1/4 1:00,8585,937,9598,0,0,0,818,0,94,561,1,-3424,1.3,80,0,-1.8,5.4,2.8,0,0,0,1849
2020/1/4 2:00,8918,939,9962,0,0,0,766,0,94,562,1,-3406,1.2,84,0,-1.2,5.6,3.2,0,0,0,1799
2020/1/4 3:00,9062,943,10121,0,0,0,751,0,93,561,1,-3408,1.4,76,0,-2.4,5.1,2.9,0,0,0,1787
2020/1/4 4:00,9128,996,10088,0,0,0,777,0,94,561,1,-3389,2.4,63,0,-3.9,4.6,3.3,0,0,0,1867
2020/1/4 5:00,9060,1106,9895,0,0,0,782,0,94,561,1,-3379,1.7,70,0,-3.2,4.8,2.8,0,0,0,1982
2020/1/4 6:00,8919,1111,9750,0,0,0,782,0,95,560,1,-3380,1.3,77,0,-2.3,5.2,2.8,0,0,0,1988
2020/1/4 7:00,8762,1052,9900,0,158,0,751,0,95,567,1,-3762,3.5,58,0,-4,4.6,4.4,0.9,0,0.25,2056
2020/1/4 8:00,9321,1042,9472,0,910,0,743,0,96,575,1,-3518,4.5,52,0,-4.5,4.4,4.1,0.2,0,0.41,2791
2020/1/4 9:00,9573,985,9042,0,1749,0,711,0,95,574,1,-3584,5.6,45,0,-5.4,4.1,3.9,1,0,1.26,3540
2020/1/4 10:00,9338,965,8323,0,2342,0,666,0,93,574,1,-3626,6.1,43,0,-5.5,4,3.1,0.9,0,1.64,4066
2020/1/4 11:00,9056,967,8120,0,2265,0,703,0,94,575,1,-3669,6.1,46,0,-4.6,4.3,6,0.8,0,1.72,4029
2020/1/4 12:00,8915,970,7972,0,2082,0,727,0,95,575,-215,-3291,5.9,41,0,-6.3,3.8,6.5,0.4,0,1.04,3874
2020/1/4 13:00,8832,963,8052,0,1820,0,678,0,96,572,-109,-3240,5.5,47,0,-4.9,4.2,4.4,0.2,0,0.58,3557
2020/1/4 14:00,8843,993,8963,0,1260,0,614,0,95,571,1,-3654,5.2,57,0,-2.6,5,3.2,0.6,0,0.75,2962
2020/1/4 15:00,8881,1017,9780,0,358,0,539,0,93,571,1,-3478,5,47,0,-5.4,4.1,5.5,0.5,0,0.36,2007
2020/1/4 16:00,9636,1246,10414,0,8,0,464,0,93,568,1,-3158,4.7,45,0,-6.2,3.8,3.9,0,0,0.02,1811
2020/1/4 17:00,10272,1279,11219,0,0,0,424,0,95,569,1,-3315,2.7,63,0,-3.6,4.7,3.2,0,0,0,1798
2020/1/4 18:00,10270,1265,11138,0,0,0,409,0,96,571,141,-3350,2.1,70,0,-2.8,5,3.1,0,0,0,1770
2020/1/4 19:00,10159,1234,11319,0,0,0,414,0,97,568,143,-3616,1.9,72,0,-2.6,5,2.8,0,0,0,1745
2020/1/4 20:00,9970,1105,11506,0,0,0,387,0,95,569,1,-3693,2,73,0,-2.3,5.2,3.8,0,0,0,1587
2020/1/4 21:00,9528,993,11250,0,0,0,382,0,95,562,1,-3755,1.8,75,0,-2.1,5.2,2.5,0,0,0,1470
2020/1/4 22:00,9057,984,10847,0,0,0,369,0,93,559,1,-3796,1.3,80,0,-1.8,5.4,3.4,0,0,0,1446
2020/1/4 23:00,9243,945,10993,0,0,0,365,0,91,540,2,-3693,0.2,75,0,-3.7,4.7,3.9,0,0,0,1401
2020/1/5 0:00,9043,903,10575,0,0,0,410,0,94,536,1,-3476,-0.1,86,0,-2.1,5.2,3.1,0,0,0,1407
2020/1/5 1:00,9266,897,10603,0,0,0,530,0,96,536,1,-3397,-0.1,88,0,-1.8,5.3,2,0,0,0,1523
2020/1/5 2:00,9581,891,10838,0,0,0,658,0,95,537,1,-3439,0.5,78,0,-2.9,4.9,3.3,0,0,0,1644
2020/1/5 3:00,9724,894,10954,0,0,0,691,0,92,537,1,-3445,0.5,71,0,-4.1,4.5,3.8,0,0,0,1677
2020/1/5 4:00,9703,944,10726,0,0,0,695,0,92,537,1,-3292,0.3,69,0,-4.7,4.3,4.4,0,0,0,1731
2020/1/5 5:00,9621,1033,10486,0,0,0,690,0,94,536,1,-3219,0.4,66,0,-5.2,4.2,4.8,0,0,0,1817
2020/1/5 6:00,9438,1087,10315,0,0,0,724,0,95,537,1,-3321,0.9,64,0,-5.1,4.2,3.3,0,0,0,1906
